get-power.asp    取权限,根据权限显示URL
create-child-domain.asp    新建二级域名原理及代码
cls-database.asp    超简陋数据库操作类
code-heightlight.asp    代码高亮类
no-cache.asp    不缓存网页
code-timeout.asp    设置程序超时时间
session-timeout.asp    Session失效时间
page-charset.asp    页面编码
instr-equirotal.asp    Instr函数大小写不敏感
if-page-loading.asp    观察用户是否仍连到服务器并正在载入ASP创建的网页的有用方式
planar-array.asp    定义二维数组
simple-ajax-by-xmlhttp-javascript.asp    简单的Ajax效果
asp-call-storage-process.asp    asp调用存储过程详细说明
operate-xml.asp    asp操作XML的一些方法
asp-code-template.asp    asp代码模板
chinese2english.asp    中文转换拼音
naming-rule.asp    变量命名规则
rand-18-character.asp    随机18个字符
uniencode-function.asp    uniencode函数
number-to-strip-image.asp    数字转条形图
create-folder.asp    创建目录
order-by-modify.asp    按文件修改日期正序排列
